2020_id	2019_ancestor	sim	2020_headline
G20	G22	0.920	Keep your BUMPERS together
R88	R95	0.926	The DRIVER Station software provided by National Instruments (install instructions found here) is the only app
R52	R59	0.926	Each branch circuit must be protected by one and only one circuit breaker on the PDP per Table 9-3
R28	R35	0.936	The integral mechanical and electrical system of any motor must not be modified
S2	S2	0.937	Wait for the green lights
H12	H12	0.953	Identify yourself.DRIVE TEAMS must wear proper identification while in the ARENA
S6	S6	0.955	Stay out of the Chutes
R79	R86	0.956	Throughout an event, compressed air on the ROBOT must be provided by its one onboard compressor only
R7	R8	0.957	Protrusions from the ROBOT and exposed surfaces on the ROBOT shall not pose hazards to the ARENA elements (inc
R44	R51	0.959	The PDP, associated wiring, and all circuit breakers must be visible for Inspection.
R74	R81	0.962	To satisfy multiple constraints associated with safety, consistency, Inspection, and constructive innovation, 
R56	R63	0.964	CUSTOM CIRCUITS shall not directly alter the power pathways between the ROBOT battery, PDP, motor controllers,
R4	R4	0.967	ROBOTS may not extend more than 12 in
R31	R38	0.967	Servos must be connected to, and only to, one of the following: A
R12	R13	0.973	No individual, non-KOP item or software shall have a Fair Market Value that exceeds $500 USD
R3	R3	0.974	A ROBOT’S STARTING CONFIGURATION may not have a FRAME PERIMETER greater than 120 in
R26	R33	0.974	BUMPERS must be supported by the structure/frame of the ROBOT (see Figure 9-8)
R73	R80	0.978	The CAN-bus must be connected to the roboRIO CAN port
R57	R64	0.978	ROBOTS must be controlled via one (1) programmable National Instruments roboRIO (P/N: am3000), with image vers
H4	H4	0.984	COACHES and other teams: hands off the controls.A ROBOT shall be operated only by the DRIVERS and/or HUMAN PLA
R21	R28	0.984	Each ROBOT must be able to display Red or Blue BUMPERS to MATCH their ALLIANCE color, as assigned in the MATCH
R32	R39	0.985	The only legal source of electrical energy for the ROBOT during the competition, the ROBOT battery, must be on
R61	R68	0.989	The roboRIO, DRIVER Station software, and Wireless Bridge must be configured to correspond to the correct team
C8	C8	0.990	Don’t expect to gain by doing others harm
R1	R1	0.992	The ROBOT (excluding BUMPERS) must have a FRAME PERIMETER, contained within the BUMPER ZONE and established wh
R65	R72	0.993	ROBOTS must use at least one (1), but no more than two (2), diagnostic ROBOT Signal Lights (RSL) (P/N: 855PB-B
R22	R29	0.995	Team numbers must be displayed and positioned on the BUMPERS such that an observer walking around the perimete
R66	R73	0.996	The Driver Station software, roboRIO, Power Distribution Panel, Pneumatics Control Modules, Voltage Regulator 
C2	C2	1.000	Be a good person
C3	C3	1.000	Asking other teams to throw a MATCH – not cool
C4	C4	1.000	Letting someone coerce you in to throwing a MATCH – also not cool
C9	C9	1.000	One student, one Head REFEREE
G19	G21	1.000	Keep it together
H5	H6	1.000	No wandering
H11	H11	1.000	By invitation only
H13	H13	1.000	Don’t abuse ARENA access.Team members (except DRIVERS, HUMAN PLAYERS, and COACHES) who are granted access to r
R2	R2	1.000	In the STARTING CONFIGURATION (the physical configuration in which a ROBOT starts a MATCH), no part of the ROB
R8	R9	1.000	ROBOT parts shall not be made from hazardous materials, be unsafe, cause an unsafe condition, or interfere wit
R9	R10	1.000	ROBOTS must allow removal of game pieces from the ROBOT and the ROBOT from FIELD elements while DISABLED and p
R15	R16	1.000	Software and mechanical/electrical designs created before Kickoff are only permitted if the source files (comp
R17	R24	1.000	ROBOTS are required to use BUMPERS to protect all outside corners of the FRAME PERIMETER
R18	R25	1.000	Except as allowed per G16, BUMPERS must be located entirely within the BUMPER ZONE, which is the volume contai
R19	R26	1.000	BUMPERS must not be articulated (relative to the FRAME PERIMETER).
R20	R27	1.000	BUMPERS (the entire BUMPER, not just the cover) must be designed for quick and easy installation and removal t
R23	R30	1.000	Each set of BUMPERS (including any fasteners and/or structures that attach them to the ROBOT) must weigh no mo
R25	R32	1.000	Corner joints between BUMPERS must be filled with pool noodle material
R33	R40	1.000	COTS USB battery packs with a capacity of 100Wh or less (20000mAh at 5V) and 2.5 Amp max output per port, or b
R34	R41	1.000	Any battery charger used to charge a ROBOT battery must have the corresponding Anderson SB connector installed
R35	R42	1.000	Any battery charger used to charge a ROBOT battery may not be used such that it exceeds 6- Amp peak charge cur
R36	R43	1.000	No batteries other than those allowed per R32 and R33 are allowed on the ROBOT, whether or not they are being 
R37	R44	1.000	The ROBOT battery must be secured such that it will not dislodge during vigorous ROBOT interaction including i
R38	R45	1.000	Each electrical terminal on the ROBOT battery, main breaker, and their connections (lugs, stripped wire ends, 
R39	R46	1.000	Non-electrical sources of energy used by the ROBOT, (i.e., stored at the start of a MATCH), shall come only fr
R40	R47	1.000	The one (1) ROBOT battery, a single pair of Anderson Power Products (or APP) 2-pole SB type connectors, the on
R41	R48	1.000	All circuits, with the exceptions of those listed in R46 and R48, must connect to, and have power sourced sole
R42	R49	1.000	All wiring and electrical devices, including all Control System COMPONENTS, shall be electrically isolated fro
R43	R50	1.000	The 120A circuit breaker must be quickly and safely accessible from the exterior of the ROBOT
R45	R52	1.000	Any active electrical item that is not an actuator (specified in R27) or core Control System item (specified i
R46	R53	1.000	The roboRIO power input must be connected to the dedicated supply terminals on the PDP shown in Figure 9-10
R47	R54	1.000	The Wireless Bridge (Radio) power must be supplied directly by the 12V 2A output of a CTR Electronics Voltage 
R48	R55	1.000	The VRM supplying power to the Wireless Bridge per R47 must be connected to the designated supply terminals at
R49	R56	1.000	Only one wire shall be connected to each WAGO connector on the PDP.
R50	R57	1.000	The only circuit breakers permitted for use in the PDP are: A
R51	R58	1.000	The fuses in the PDP shall only be replaced with functionally identical fuses (mini automotive blade fuses wit
R53	R60	1.000	All circuits shall be wired with appropriately sized insulated copper wire (SIGNAL LEVEL cables don’t have to 
R54	R61	1.000	Branch circuits may include intermediate elements such as COTS connectors, splices, COTS flexible/rolling/slid
R58	R65	1.000	One (1) OpenMesh Wireless Bridge (P/N: OM5P-AN or OM5P-AC), that has been configured with the appropriate encr
R59	R66	1.000	The roboRIO Ethernet PORT must be connected to the Wireless Bridge PORT labeled “18-24 vPOE,” closest to the p
R60	R67	1.000	Communication between the ROBOT and the OPERATOR CONSOLE is restricted as follows: A
R62	R69	1.000	All signals must originate from the OPERATOR CONSOLE and be transmitted to the ROBOT via the ARENA Ethernet ne
R64	R71	1.000	The Wireless Bridge must be mounted on the ROBOT such that the diagnostic lights are visible to ARENA personne
R67	R74	1.000	Neither 12VDC power nor relay module or motor controller outputs shall be directly connected to the roboRIO (w
R68	R75	1.000	Every relay module (per R29-B), servo controller, and PWM motor controller shall be connected to a correspondi
R69	R76	1.000	If a motor is controlled via the MXP, its power regulating device must be connected by one of the following me
R70	R77	1.000	Each CAN motor controller must be controlled with signal inputs sourced from the roboRIO and passed via either
R71	R78	1.000	Each PCM must be controlled with signal inputs sourced from the roboRIO and passed via a CAN-bus connection fr
R72	R79	1.000	The PDP CAN interface must be connected to the CAN-bus on the roboRIO (either directly or daisy-chained via an
R75	R82	1.000	All pneumatic items must be COTS pneumatic devices and either: A
R76	R83	1.000	All pneumatic COMPONENTS must be used in their original, unaltered condition
R77	R84	1.000	The only pneumatic system items permitted on ROBOTS include the items listed below
R78	R85	1.000	If pneumatic COMPONENTS are used, the following items are required as part of the pneumatic circuit and must b
R80	R87	1.000	Stored air pressure on the ROBOT must be no greater than 120 psi (~827 kPa)
R81	R88	1.000	Working air pressure (air pressure used to actuate devices) on the ROBOT must be no greater than 60 psi (~413 
R82	R89	1.000	Only the compressor, relief valve, pressure switch, pressure vent plug, pressure gauge, storage tanks, tubing,
R83	R90	1.000	Pressure gauges must be placed in easily visible locations upstream and downstream of the regulator to display
R84	R91	1.000	The relief valve must be attached directly to the compressor or attached by legal hard fittings (e.g
R85	R92	1.000	The pressure switch requirements are: A
R86	R93	1.000	Any pressure vent plug must be: A
R89	R96	1.000	The OPERATOR CONSOLE, the set of COMPONENTS and MECHANISMS used by the DRIVERS and/or HUMAN PLAYER to relay co
R90	R97	1.000	Devices hosting the DRIVER Station software must only interface with the Field Management System (FMS) via the
R91	R98	1.000	The OPERATOR CONSOLE must not A
R92	R99	1.000	Other than the system provided by the FIELD, no other form of wireless communications shall be used to communi
S1	S1	1.000	Dangerous ROBOTS: not allowed
S3	S3	1.000	Never step/jump over the guardrail
S5	S4	1.000	Humans, stay off the FIELD during the MATCH
