rule_id	prefix	s2425	s2526	min	headline
E105	E	1.0	1.0	1.0	Teams must check in.
E201	E	1.0	1.0	1.0	The ROBOT goes alone to off-site machine shops.
E301	E	1.0	1.0	1.0	No wireless communication.
E404	E	1.0	1.0	1.0	Pit must be left in a safe state.
E501	E	1.0	1.0	1.0	Pits are unavailable if closed.
E503	E	1.0	1.0	1.0	Keep aisles clear.
E505	E	1.0	1.0	1.0	Nothing too big.
E506	E	1.0	1.0	1.0	No brazing or welding.
E507	E	1.0	1.0	1.0	Solder with specific tools only.
E508	E	1.0	1.0	1.0	Structures must be safe.
E509	E	1.0	1.0	1.0	Secure team identification assets.
I104	I	1.0	1.0	1.0	Unless the change is listed below, any change to a ROBOT must get re-inspected.
I106	I	1.0	1.0	1.0	ROBOTS are off for inspection (mostly).
I107	I	1.0	1.0	1.0	No STUDENT, no inspection.
R201	R	1.0	1.0	1.0	No digging into carpet.
R301	R	1.0	1.0	1.0	Individual item cost limit.
R603	R	1.0	1.0	1.0	Charge batteries with safe connectors.
R604	R	1.0	1.0	1.0	Charge batteries at a safe rate.
R605	R	1.0	1.0	1.0	Batteries are not ballast.
R606	R	1.0	1.0	1.0	Secure the battery.
R607	R	1.0	1.0	1.0	Insulate battery connections.
R608	R	1.0	1.0	1.0	Limit non-battery energy.
R623	R	1.0	1.0	1.0	Use only appropriate connectors.
R624	R	1.0	1.0	1.0	Use specified wire colors (mostly).
R705	R	1.0	1.0	1.0	Configure devices for your team number.
R706	R	1.0	1.0	1.0	Don’t bypass the ARENA network.
R708	R	1.0	1.0	1.0	Wireless bridge must be visible.
R711	R	1.0	1.0	1.0	Don’t connect motor outputs to roboRIO.
R713	R	1.0	1.0	1.0	Only approved MXP devices can control actuators.
R801	R	1.0	1.0	1.0	Only use explicitly permitted pneumatic parts
R803	R	1.0	1.0	1.0	Don’t modify pneumatics.
R810	R	1.0	1.0	1.0	Pressure gauges must be visible.
R812	R	1.0	1.0	1.0	Pressure switch requirements.
R813	R	1.0	1.0	1.0	Vent plug requirements.
R814	R	1.0	1.0	1.0	Don’t connect solenoid outputs together.
R902	R	1.0	1.0	1.0	The OPERATOR CONSOLE must have a visible display.
R903	R	1.0	1.0	1.0	Connect FMS Ethernet directly to the OPERATOR CONSOLE.
R905	R	1.0	1.0	1.0	FIELD wireless only.
R906	R	1.0	1.0	1.0	No unsafe OPERATOR CONSOLES.
