rule_id	2008	2010	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	total
G303	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	6
G304	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
G306	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
G401	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	5	3	13
G402	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	1	8
G403	0	0	0	0	0	0	0	0	0	0	0	0	5	3	7	0	4	19
G404	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	2	3	10
G405	0	0	0	0	0	0	0	0	0	0	0	0	3	1	5	1	0	10
G406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	1	15
G407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	8
G408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	7
G409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	1	20
G410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	5
G411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	2	12
G412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	9
G413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	11	22
G414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	8
G415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	12	17
G416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	18	23
G417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3
G418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	12
G419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	14
G420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	10
G421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	7
G422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4
G423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
G424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	6
G425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	6	12
G427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	6
G428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4
G429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	5
G430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	7
G431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
G432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3
G433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
G435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6
G501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3
H01	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
H02	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3
H05	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2
H07	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0	0	14
H08	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
H10	0	0	0	0	0	0	0	2	0	4	10	0	0	0	0	0	0	16
H11	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	5
H12	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11
H13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
H14	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	5
H15	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
H101	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3
H102	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
H103	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
H104	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
H105	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
H106	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
H107	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
H109	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
H202	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
H301	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	8
H302	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
H303	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	12
H305	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
H307	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
H309	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3
H310	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3
H311	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
H401	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
H402	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
H403	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
