rule_id	prefix	num	page	chars	starred	sha1	headline
R79	R	79	79	154	0	c5bbfcf94e46	Compressed air on the ROBOT must be provided by one and only one compressor. Compressor
R80	R	80	79	668	0	2534498f7c04	The compressor (permitted per R79 ) may be located off-board, however the compressor must still
R81	R	81	80	149	0	dabc557347a8	“Stored” air pressure on the ROBOT must be no greater than 120 psi. No stored air pressure
R82	R	82	80	231	0	2c9137ade6b2	“Working” air pressure on the ROBOT must be no greater than 60 psi and must be provided
R83	R	83	80	250	0	98cf98e1b168	Only the compressor, relief valve (P/N: 16-004-011), pressure switch, pressure vent plug, pressure
R84	R	84	80	148	0	c42e0f8e58fe	Pressure gauges must be placed in easily visible locations upstream and downstream of the
R85	R	85	80	419	0	b3fb04bdb356	If the compressor is not included on the ROBOT (under the provisions of R80 ) the ”Stored”
R86	R	86	81	339	0	5e81dbe89c11	If the stored pressure gauge is kept off-board the ROBOT with the compressor, then only low-
R87	R	87	81	421	0	d1ee5b9dbca9	The relief valve must be attached directly to the compressor or attached by legal hard fittings (e.g.
R88	R	88	81	636	0	ea52836b609c	The pressure switch requirements are:
R89	R	89	81	476	0	59bc514a362b	Any pressure vent plug must be:
R90	R	90	81	148	0	830e07c5c995	The outputs from multiple valves must not be plumbed together.
R91	R	91	82	471	0	292035bafe71	The Driver Station software provided on the National Instruments website is the only application
R92	R	92	82	346	0	14da89d83374	The OPERATOR CONSOLE, the set of COMPONENTS and MECHANISMS used by the DRIVERS
R93	R	93	82	744	0	93d545d6cd17	Devices hosting the Driver Station software must only interface with the Field Management System
R94	R	94	82	441	0	41f721946a86	The OPERATOR CONSOLE must not exceed 60 in. long by 14 in. deep (excluding any items that
R95	R	95	82	437	0	d77e14c3e64e	Other than the system provided by the ARENA, no other form of wireless communications shall be
R96	R	96	82	20969	0	8e32dcef7629	OPERATOR CONSOLES shall not be made using hazardous materials, be unsafe, cause an unsafe
T1	T	1	91	236	0	72f20a833d4d	Safety is paramount at all times during the Tournament. Event staff have the final decision
T2	T	2	91	148	0	8d7e8793fd15	Wireless ROBOT control is only permitted on the FIELD or Practice Field. ROBOTS must be
T3	T	3	91	115	0	644d6e1152e8	If operating wirelessly on the Practice Field, ROBOTS must use the provided Practice Field radio
T4	T	4	91	221	0	30d671f56f77	Teams may not set up their own 802.11a/b/g/n/ac (2.4GHz or 5GHz) wireless communication (e.g.
T5	T	5	91	845	0	2960935f8780	No Team or Team member shall interfere or attempt to interfere with any other Team’s or FIRST ’s
T6	T	6	91	582	0	41d6a28e517f	All Teams must be civil towards their own Team members, other Teams, competition personnel,
T7	T	7	92	1314	0	b149daca8fb3	A Team may not encourage an ALLIANCE, of which it is not a member, to play beneath its ability.
T8	T	8	92	1334	0	c44c1e82b599	A Team, as the result of encouragement by a Team not on their ALLIANCE, may not play
T9	T	9	93	450	0	2b4f9a92b932	If brought to the ARENA, the Team STANDARD must be constructed to the Team Standard
T10	T	10	93	199	0	e797f4cb46a3	During a MATCH, the Team STANDARD may not be touched by any member of the ALLIANCE
T11	T	11	93	2743	0	3d7e2f8a4a4a	The OPERATOR CONSOLE must be used in the PLAYER STATION to which the Team is
T12	T	12	94	721	0	5d99612b670b	A Team is only permitted to participate in a Qualification or Playoff MATCH and receive Ranking
T13	T	13	94	487	0	f2415020466c	Each Team must send at least one (1) member of its DRIVE TEAM to the FIELD and participate
T14	T	14	95	554	0	b39bf3c48912	At the time of Inspection, the ROBOT must be presented with all MECHANISMS (including all
T15	T	15	95	2687	0	f7260f8b979c	If a ROBOT is modified after it has passed its most recent Inspection, other than modifications
T16	T	16	96	405	0	cdff4ca0efbc	The ROBOT Cost Accounting Worksheet (CAW), listing all items on the ROBOT except those
T17	T	17	96	380	0	6a10c06725b4	During the event, from load-in on the first day to load-out on the final day, Teams may only
T18	T	18	97	1212	0	8c78e7e8e3ef	For the safety of all those involved, Inspections must take place with the ROBOT powered off,
T19	T	19	97	5054	0	0f0b3cef4722	If a DRIVE TEAM needs clarification on a ruling or score, one (1) pre-college student from that
T20	T	20	99	2353	0	3b765b1181fd	If, in the judgment of the Head REFEREE, an ARENA FAULT occurs that affects the outcome
T21	T	21	100	463	0	318ed6b2a7ab	If an ALLIANCE wishes to call a TIMEOUT, the ALLIANCE CAPTAIN must submit their TIMEOUT
