2021_id	2020_ancestor	sim	2021_headline
H12	H12	1.000	Identify yourself.DRIVE TEAMS must wear proper identification while in the ARENA
H14	H14	1.000	Don’t mess with POWER CELLS.Teams may not modify POWER CELLS in any way
H15	H15	1.000	Don’t bang on the glass.Team members may never strike or hit the PLAYER STATION plastic windows.
R2	R2	1.000	In the STARTING CONFIGURATION (the physical configuration in which a ROBOT starts a MATCH), no part of the ROB
R3	R3	1.000	A ROBOT’S STARTING CONFIGURATION may not have a FRAME PERIMETER greater than 120 in
R5	R5	1.000	The ROBOT weight must not exceed 125 lbs
R6	R6	1.000	Traction devices must not have surface features that could damage the ARENA (e.g
R7	R7	1.000	Protrusions from the ROBOT and exposed surfaces on the ROBOT shall not pose hazards to the ARENA elements (inc
R9	R9	1.000	ROBOTS must allow removal of game pieces from the ROBOT and the ROBOT from FIELD elements while DISABLED and p
R10	R10	1.000	Lubricants may be used only to reduce friction within the ROBOT
R18	R18	1.000	Except as allowed per G16, BUMPERS must be located entirely within the BUMPER ZONE, which is the volume contai
R19	R19	1.000	BUMPERS must not be articulated (relative to the FRAME PERIMETER).
R20	R20	1.000	BUMPERS (the entire BUMPER, not just the cover) must be designed for quick and easy installation and removal t
R23	R23	1.000	Each set of BUMPERS (including any fasteners and/or structures that attach them to the ROBOT) must weigh no mo
R28	R28	1.000	The integral mechanical and electrical system of any motor must not be modified
R31	R31	1.000	Servos must be connected to, and only to, one of the following: A
R32	R32	1.000	The only legal source of electrical energy for the ROBOT during the competition, the ROBOT battery, must be on
R34	R34	1.000	Any battery charger used to charge a ROBOT battery must have the corresponding Anderson SB connector installed
R35	R35	1.000	Any battery charger used to charge a ROBOT battery may not be used such that it exceeds 6- Amp peak charge cur
R36	R36	1.000	No batteries other than those allowed per R32 and R33 are allowed on the ROBOT, whether or not they are being 
R37	R37	1.000	The ROBOT battery must be secured such that it will not dislodge during vigorous ROBOT interaction including i
R38	R38	1.000	Each electrical terminal on the ROBOT battery, main breaker, and their connections (lugs, stripped wire ends, 
R40	R40	1.000	The one (1) ROBOT battery, a single pair of Anderson Power Products (or APP) 2-pole SB type connectors, the on
R41	R41	1.000	All circuits, with the exceptions of those listed in R46 and R48, must connect to, and have power sourced sole
R43	R43	1.000	The 120A circuit breaker must be quickly and safely accessible from the exterior of the ROBOT
R44	R44	1.000	The PDP, associated wiring, and all circuit breakers must be visible for Inspection.
R45	R45	1.000	Any active electrical item that is not an actuator (specified in R27) or core Control System item (specified i
R46	R46	1.000	The roboRIO power input must be connected to the dedicated supply terminals on the PDP shown in Figure 9-11
R48	R48	1.000	The VRM supplying power to the Wireless Bridge per R47 must be connected to the designated supply terminals at
R49	R49	1.000	Only one wire shall be connected to each WAGO connector on the PDP.
R50	R50	1.000	The only circuit breakers permitted for use in the PDP are: A
R54	R54	1.000	Branch circuits may include intermediate elements such as COTS connectors, splices, COTS flexible/rolling/slid
R55	R55	1.000	All non-SIGNAL LEVEL wiring with a constant polarity (i.e., except for outputs of relay modules, motor control
R56	R56	1.000	CUSTOM CIRCUITS shall not directly alter the power pathways between the ROBOT battery, PDP, motor controllers,
R58	R58	1.000	One (1) OpenMesh Wireless Bridge (P/N: OM5P-AN or OM5P-AC), that has been configured with the appropriate encr
R59	R59	1.000	The roboRIO Ethernet PORT must be connected to the Wireless Bridge PORT labeled “18-24 vPOE,” closest to the p
R60	R60	1.000	Communication between the ROBOT and the OPERATOR CONSOLE is restricted as follows: A
R63	R63	1.000	No form of wireless communication shall be used to communicate to, from, or within the ROBOT, except those req
R64	R64	1.000	The Wireless Bridge must be mounted on the ROBOT such that the diagnostic lights are visible to ARENA personne
R67	R67	1.000	Neither 12VDC power nor relay module or motor controller outputs shall be directly connected to the roboRIO (w
R68	R68	1.000	Every relay module (per R29-B), servo controller, and PWM motor controller shall be connected to a correspondi
R70	R70	1.000	Each CAN motor controller must be controlled with signal inputs sourced from the roboRIO and passed via either
R71	R71	1.000	Each PCM must be controlled with signal inputs sourced from the roboRIO and passed via a CAN-bus connection fr
R72	R72	1.000	The PDP CAN interface must be connected to the CAN-bus on the roboRIO (either directly or daisy-chained via an
R73	R73	1.000	The CAN-bus must be connected to the roboRIO CAN port
R74	R74	1.000	To satisfy multiple constraints associated with safety, consistency, Inspection, and constructive innovation, 
R76	R76	1.000	All pneumatic COMPONENTS must be used in their original, unaltered condition
R77	R77	1.000	The only pneumatic system items permitted on ROBOTS include the items listed below
R79	R79	1.000	Throughout an event, compressed air on the ROBOT must be provided by its one onboard compressor only
R80	R80	1.000	Stored air pressure on the ROBOT must be no greater than 120 psi (~827 kPa)
R81	R81	1.000	Working air pressure (air pressure used to actuate devices) on the ROBOT must be no greater than 60 psi (~413 
R82	R82	1.000	Only the compressor, relief valve, pressure switch, pressure vent plug, pressure gauge, storage tanks, tubing,
R83	R83	1.000	Pressure gauges must be placed in easily visible locations upstream and downstream of the regulator to display
R84	R84	1.000	The relief valve must be attached directly to the compressor or attached by legal hard fittings (e.g
R86	R86	1.000	Any pressure vent plug must be: A
R87	R87	1.000	The outputs from multiple solenoid valves must not be plumbed together
R89	R89	1.000	The OPERATOR CONSOLE, the set of COMPONENTS and MECHANISMS used by the DRIVERS and/or HUMAN PLAYER to relay co
R90	R90	1.000	Devices hosting the Driver Station software must only interface with the Field Management System (FMS) via the
R92	R92	1.000	Other than the system provided by the FIELD, no other form of wireless communications shall be used to communi
S1	S1	1.000	Dangerous ROBOTS: not allowed
S4	S4	1.000	ROBOTS, stay on the FIELD during the MATCH
S5	S5	1.000	Humans, stay off the FIELD during the MATCH
S6	S6	1.000	Stay out of the Chutes
