rule_id	prefix	num	page	stmt_chars	viol_chars	inset_chars	stmt_sha1	headline
R10	R	10	69	169	0	0	e5b8b3ded4fb	Lubricants may be used only to reduce friction within the ROBOT
R11	R	11	69	871	0	0	113b5c27dd09	The total cost of all items on the ROBOT shall not exceed $4000 USD
R12	R	12	69	1996	0	0	84f20911e43d	No individual, non-KOP item shall have a value that exceeds $500 USD
R13	R	13	70	2463	0	0	662784cfc29a	The CAW cost of each non-KOP item must be calculated based on the unit fair market value for the material and/or labor, 
R14	R	14	71	1826	0	0	19ab6af873bb	Physical ROBOT elements created before Kickoff are not permitted
R15	R	15	72	2199	0	0	660aee11e941	Software and mechanical/electrical designs created before Kickoff are only permitted if the source files (complete infor
R16	R	16	72	1212	0	0	096ca8914b15	All ROBOT elements (including items intended for use during the competition in alternative configurations of the ROBOT),
R17	R	17	73	465	0	0	852e9e72f543	For convenience, Teams may disassemble their ROBOT and use up to three (3) bags to “Bag and Tag” the pieces
R18	R	18	73	240	0	0	aaff6150d6ee	If you are attending another event, such as a FIRST Championship or another Regional or District event, you must re-seal
R19	R	19	73	3413	0	0	7f0fb642ce03	Teams must stay “hands-off” their bagged ROBOT elements during the following time periods: A
R20	R	20	74	458	0	0	62bf40bab8fb	Teams permitted to use the ROBOT Access Period per R19-H may only unlock their ROBOT for a total of six (6) hours during
R21	R	21	74	309	0	0	b4845c092261	If the ROBOT is accessed before the event, the unbagging must be noted on the ROBOT Lock- up form and the ROBOT must be 
R22	R	22	75	2964	0	0	e3c7b965dd4d	At each Event, Teams may have access to a WITHHOLDING ALLOWANCE
R23	R	23	76	833	0	0	377d274dc159	ROBOTS are required to use BUMPERS to protect all outside corners of the FRAME PERIMETER
R24	R	24	77	878	0	0	666a694d7b69	BUMPERS must be located entirely within the BUMPER ZONE, which is the volume contained between the floor and a virtual h
R25	R	25	78	66	0	0	8dcd68e12999	BUMPERS must not be articulated (relative to the FRAME PERIMETER)
R26	R	26	78	263	0	0	43155b67bbdf	BUMPERS (the entire BUMPER, not just the cover) must be designed for quick and easy installation and removal to facilita
R27	R	27	78	577	0	0	9140a5092aa8	Each ROBOT must be able to display Red or Blue BUMPERS to MATCH their ALLIANCE color, as assigned in the MATCH schedule 
R28	R	28	78	1311	0	0	cfb0c18bdcc5	Team numbers must be displayed and positioned on the BUMPERS such that an observer walking around the perimeter of the R
R29	R	29	79	479	0	0	43ea8d495646	Each set of BUMPERS (including any fasteners and/or structures that attach them to the ROBOT) must weigh no more than 20
R30	R	30	79	3241	0	0	63565e905d64	BUMPERS must be constructed as follows (see Figure 8-6): A
