year,event,week,team,n_matches,resid_mean,resid_sd,resid_min
2026,2026mnwi,Week 1,2977,11,0.0,34.169,-48.395
2026,2026mnwi,Week 1,5847,11,0.0,58.087,-87.401
2026,2026mnwi,Week 1,4859,11,0.0,35.745,-49.563
2026,2026mnwi,Week 1,525,11,-0.0,36.477,-102.031
2026,2026mnwi,Week 1,3284,11,0.0,34.267,-79.743
2026,2026mnwi,Week 1,7850,11,0.0,32.699,-44.235
2026,2026mnwi,Week 1,4143,11,0.0,36.814,-44.146
2026,2026mnwi,Week 1,7858,12,0.0,33.737,-44.146
2026,2026mnwi,Week 1,2667,11,0.0,28.043,-55.138
2026,2026mnwi,Week 1,3090,11,-0.0,23.352,-34.924
2026,2026mnwi,Week 1,111,12,-0.0,53.375,-102.031
2026,2026mnwi,Week 1,2358,11,0.0,27.079,-42.398
2026,2026mnwi,Week 1,4646,11,-0.0,34.67,-55.848
2026,2026mnwi,Week 1,2508,11,0.0,33.415,-38.306
2026,2026mnwi,Week 1,2220,11,0.0,28.845,-45.572
2026,2026mnwi,Week 1,5339,11,0.0,24.332,-45.572
2026,2026mnwi,Week 1,3928,11,-0.0,39.963,-55.138
2026,2026mnwi,Week 1,167,11,-0.0,36.479,-68.981
2026,2026mnwi,Week 1,5914,11,-0.0,30.386,-32.216
2026,2026mnwi,Week 1,4174,12,-0.0,33.363,-79.127
2026,2026mnwi,Week 1,5541,11,-0.0,31.594,-44.235
2026,2026mnwi,Week 1,5822,11,-0.0,31.988,-45.572
2026,2026mnwi,Week 1,3061,11,0.0,28.723,-34.969
2026,2026okok,Week 1,6026,10,-0.0,32.223,-69.436
2026,2026okok,Week 1,9551,10,-0.0,22.874,-45.963
2026,2026okok,Week 1,9472,10,0.0,22.128,-38.49
2026,2026okok,Week 1,2773,10,-0.0,36.611,-91.571
2026,2026okok,Week 1,1806,10,-0.0,30.928,-73.946
2026,2026okok,Week 1,3160,10,-0.0,31.465,-62.411
2026,2026okok,Week 1,3931,10,-0.0,44.426,-56.324
2026,2026okok,Week 1,1706,11,-0.0,38.66,-69.436
2026,2026okok,Week 1,4523,10,-0.0,30.468,-62.963
2026,2026okok,Week 1,4500,10,-0.0,35.151,-50.009
2026,2026okok,Week 1,5550,10,-0.0,32.487,-54.264
2026,2026okok,Week 1,3526,10,-0.0,29.406,-50.009
2026,2026okok,Week 1,3465,10,0.0,29.322,-54.267
2026,2026okok,Week 1,3247,10,-0.0,26.343,-73.946
2026,2026okok,Week 1,2718,10,-0.0,25.317,-47.507
2026,2026okok,Week 1,2373,10,0.0,42.583,-62.411
2026,2026okok,Week 1,6391,10,-0.0,30.012,-62.963
2026,2026okok,Week 1,1209,10,-0.0,25.27,-47.826
2026,2026okok,Week 1,6809,10,-0.0,45.188,-85.127
2026,2026okok,Week 1,1561,10,-0.0,45.745,-85.127
2026,2026okok,Week 1,6424,10,-0.0,41.096,-85.127
2026,2026okok,Week 1,4766,10,-0.0,33.237,-69.436
2026,2026okok,Week 1,5889,10,-0.0,26.563,-38.134
2026,2026okok,Week 1,31,10,-0.0,41.176,-54.796
2026,2026okok,Week 1,2341,10,0.0,29.081,-47.507
2026,2026okok,Week 1,4256,10,-0.0,31.9,-42.596
2026,2026okok,Week 1,8711,10,-0.0,32.239,-62.411
2026,2026okok,Week 1,1785,10,-0.0,35.066,-92.764
2026,2026okok,Week 1,2183,10,-0.0,39.673,-92.764
2026,2026okok,Week 1,4522,10,-0.0,49.752,-92.764
2026,2026okok,Week 1,2383,10,-0.0,46.654,-56.324
2026,2026okok,Week 1,3179,11,-0.0,28.56,-44.64
2026,2026okok,Week 1,34,10,-0.0,35.419,-62.963
2026,2026okok,Week 1,1939,10,-0.0,26.374,-41.732
2026,2026okok,Week 1,2165,10,-0.0,32.144,-41.732
2026,2026okok,Week 1,2359,10,-0.0,27.292,-41.732
2026,2026okok,Week 1,2333,10,-0.0,35.89,-54.264
2026,2026okok,Week 1,3892,10,-0.0,45.134,-91.571
