year,event,week,n_teams,n_alliances,winning_alliance,rank_cols
2023,2023paphi,Week 3,31,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023vaale,Week 3,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023vapor,Week 3,29,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023wabon,Week 3,31,8,3,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023nyli,Week 3,45,8,2,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023iscmp,Week 4,45,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023iacf,Week 4,56,8,2,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023mose,Week 4,27,8,2,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023wimi,Week 4,47,8,3,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023code,Week 4,43,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023mxto,Week 4,41,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023azgl,Week 4,42,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023hiho,Week 4,37,8,2,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023gacar,Week 4,28,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
