year,event,week,col_index,col_name,rank,team,value
2023,2023isde1,Week 1,3,Avg Match,16,1576,59.50
2023,2023isde1,Week 1,4,Avg Charge Station,16,1576,19.83
2023,2023isde1,Week 1,5,Avg Auto,16,1576,14.33
2023,2023isde1,Week 1,6,Record (W-L-T),16,1576,5-7-0
2023,2023isde1,Week 1,7,DQ,16,1576,0
2023,2023isde1,Week 1,8,Played,16,1576,12
2023,2023isde1,Week 1,9,Total Ranking Points*,16,1576,16
2023,2023isde1,Week 1,2,Ranking Score,17,3388,1.33
2023,2023isde1,Week 1,3,Avg Match,17,3388,58.50
2023,2023isde1,Week 1,4,Avg Charge Station,17,3388,20.50
2023,2023isde1,Week 1,5,Avg Auto,17,3388,14.75
2023,2023isde1,Week 1,6,Record (W-L-T),17,3388,6-6-0
2023,2023isde1,Week 1,7,DQ,17,3388,0
2023,2023isde1,Week 1,8,Played,17,3388,12
2023,2023isde1,Week 1,9,Total Ranking Points*,17,3388,16
2023,2023isde1,Week 1,2,Ranking Score,18,6741,1.33
2023,2023isde1,Week 1,3,Avg Match,18,6741,54.25
2023,2023isde1,Week 1,4,Avg Charge Station,18,6741,20.16
2023,2023isde1,Week 1,5,Avg Auto,18,6741,13.25
2023,2023isde1,Week 1,6,Record (W-L-T),18,6741,5-7-0
2023,2023isde1,Week 1,7,DQ,18,6741,0
2023,2023isde1,Week 1,8,Played,18,6741,12
2023,2023isde1,Week 1,9,Total Ranking Points*,18,6741,16
2023,2023isde1,Week 1,2,Ranking Score,19,3065,1.25
2023,2023isde1,Week 1,3,Avg Match,19,3065,66.00
2023,2023isde1,Week 1,4,Avg Charge Station,19,3065,18.50
2023,2023isde1,Week 1,5,Avg Auto,19,3065,12.91
2023,2023isde1,Week 1,6,Record (W-L-T),19,3065,6-6-0
2023,2023isde1,Week 1,7,DQ,19,3065,0
2023,2023isde1,Week 1,8,Played,19,3065,12
2023,2023isde1,Week 1,9,Total Ranking Points*,19,3065,15
2023,2023isde1,Week 1,2,Ranking Score,20,3083,1.25
2023,2023isde1,Week 1,3,Avg Match,20,3083,61.41
2023,2023isde1,Week 1,4,Avg Charge Station,20,3083,22.16
2023,2023isde1,Week 1,5,Avg Auto,20,3083,14.50
2023,2023isde1,Week 1,6,Record (W-L-T),20,3083,4-8-0
2023,2023isde1,Week 1,7,DQ,20,3083,0
2023,2023isde1,Week 1,8,Played,20,3083,12
2023,2023isde1,Week 1,9,Total Ranking Points*,20,3083,15
2023,2023isde1,Week 1,2,Ranking Score,21,4661,1.16
2023,2023isde1,Week 1,3,Avg Match,21,4661,66.66
2023,2023isde1,Week 1,4,Avg Charge Station,21,4661,21.00
2023,2023isde1,Week 1,5,Avg Auto,21,4661,17.83
2023,2023isde1,Week 1,6,Record (W-L-T),21,4661,3-9-0
2023,2023isde1,Week 1,7,DQ,21,4661,0
2023,2023isde1,Week 1,8,Played,21,4661,12
2023,2023isde1,Week 1,9,Total Ranking Points*,21,4661,14
2023,2023isde1,Week 1,2,Ranking Score,22,6738,1.16
2023,2023isde1,Week 1,3,Avg Match,22,6738,63.66
2023,2023isde1,Week 1,4,Avg Charge Station,22,6738,22.66
2023,2023isde1,Week 1,5,Avg Auto,22,6738,16.50
2023,2023isde1,Week 1,6,Record (W-L-T),22,6738,4-8-0
2023,2023isde1,Week 1,7,DQ,22,6738,0
2023,2023isde1,Week 1,8,Played,22,6738,12
2023,2023isde1,Week 1,9,Total Ranking Points*,22,6738,14
2023,2023isde1,Week 1,2,Ranking Score,23,1943,1.16
2023,2023isde1,Week 1,3,Avg Match,23,1943,56.66
2023,2023isde1,Week 1,4,Avg Charge Station,23,1943,21.66
2023,2023isde1,Week 1,5,Avg Auto,23,1943,11.50
2023,2023isde1,Week 1,6,Record (W-L-T),23,1943,5-7-0
2023,2023isde1,Week 1,7,DQ,23,1943,0
2023,2023isde1,Week 1,8,Played,23,1943,12
2023,2023isde1,Week 1,9,Total Ranking Points*,23,1943,14
2023,2023isde1,Week 1,2,Ranking Score,24,9304,0.75
2023,2023isde1,Week 1,3,Avg Match,24,9304,52.50
2023,2023isde1,Week 1,4,Avg Charge Station,24,9304,18.50
2023,2023isde1,Week 1,5,Avg Auto,24,9304,12.91
2023,2023isde1,Week 1,6,Record (W-L-T),24,9304,2-10-0
2023,2023isde1,Week 1,7,DQ,24,9304,0
2023,2023isde1,Week 1,8,Played,24,9304,12
2023,2023isde1,Week 1,9,Total Ranking Points*,24,9304,9
2023,2023isde1,Week 1,2,Ranking Score,25,5554,0.58
2023,2023isde1,Week 1,3,Avg Match,25,5554,52.58
2023,2023isde1,Week 1,4,Avg Charge Station,25,5554,17.66
2023,2023isde1,Week 1,5,Avg Auto,25,5554,14.16
2023,2023isde1,Week 1,6,Record (W-L-T),25,5554,2-10-0
2023,2023isde1,Week 1,7,DQ,25,5554,0
2023,2023isde1,Week 1,8,Played,25,5554,12
2023,2023isde1,Week 1,9,Total Ranking Points*,25,5554,7
2023,2023bcvi,Week 1,2,Ranking Score,1,4613,2.91
2023,2023bcvi,Week 1,3,Avg Match,1,4613,87.41
2023,2023bcvi,Week 1,4,Avg Charge Station,1,4613,27.83
2023,2023bcvi,Week 1,5,Avg Auto,1,4613,24.66
2023,2023bcvi,Week 1,6,Record (W-L-T),1,4613,12-0-0
2023,2023bcvi,Week 1,7,DQ,1,4613,0
2023,2023bcvi,Week 1,8,Played,1,4613,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,1,4613,35
2023,2023bcvi,Week 1,2,Ranking Score,2,359,2.66
2023,2023bcvi,Week 1,3,Avg Match,2,359,94.08
2023,2023bcvi,Week 1,4,Avg Charge Station,2,359,26.66
2023,2023bcvi,Week 1,5,Avg Auto,2,359,26.33
2023,2023bcvi,Week 1,6,Record (W-L-T),2,359,11-1-0
2023,2023bcvi,Week 1,7,DQ,2,359,0
2023,2023bcvi,Week 1,8,Played,2,359,12
2023,2023bcvi,Week 1,9,Total Ranking Points*,2,359,32
2023,2023bcvi,Week 1,2,Ranking Score,3,4253,2.41
2023,2023bcvi,Week 1,3,Avg Match,3,4253,81.91
