year,event,week,red1,red2,red3,blue1,blue2,blue3,red_score,blue_score
2024,2024brbr,Week 1,9199,7033,9195,9458,9460,9487,21,46
2024,2024brbr,Week 1,9045,9461,9486,7563,9046,9657,38,26
2024,2024brbr,Week 1,9218,9178,9047,5800,7565,9066,9,47
2024,2024brbr,Week 1,9459,1860,7459,8882,9219,9048,40,26
2024,2024brbr,Week 1,9165,9164,9305,9611,6404,9675,19,20
2024,2024brbr,Week 1,9166,9162,9458,9302,8066,9110,31,45
2024,2024brbr,Week 1,9657,9484,8276,9617,9614,7033,34,16
2024,2024brbr,Week 1,9175,9047,7563,9487,9085,9485,45,40
2024,2024brbr,Week 1,9199,9196,1860,9218,9459,9486,39,17
2024,2024brbr,Week 1,6404,9168,5800,7565,8882,9461,36,43
2024,2024brbr,Week 1,9675,9165,7459,1772,9049,9603,14,63
2024,2024brbr,Week 1,9166,9604,9169,9164,9048,9200,42,44
2024,2024brbr,Week 1,9178,9046,9305,9602,9219,7567,29,40
2024,2024brbr,Week 1,9163,9611,9066,9195,9045,1156,38,39
2024,2024brbr,Week 1,9050,9485,6404,9460,7033,9168,44,45
2024,2024brbr,Week 1,5800,9175,9199,9162,9110,9165,56,38
2024,2024brbr,Week 1,9085,8066,9169,7565,9657,9459,53,49
2024,2024brbr,Week 1,8276,9164,9604,9046,9603,9458,33,52
2024,2024brbr,Week 1,1772,9302,9219,9486,9602,9163,29,39
2024,2024brbr,Week 1,9045,9611,9047,8882,9178,9166,26,22
2024,2024brbr,Week 1,9050,9200,9487,9049,9675,9305,40,30
2024,2024brbr,Week 1,9460,9617,9196,9066,7459,7563,19,33
2024,2024brbr,Week 1,9461,1156,9484,7567,9195,9218,75,23
2024,2024brbr,Week 1,6404,9302,9614,9048,1860,9085,20,42
2024,2024brbr,Week 1,9485,7033,9046,9110,8882,9163,49,38
2024,2024brbr,Week 1,1772,9657,9045,9168,9050,9199,35,60
2024,2024brbr,Week 1,9617,9169,7565,9611,9602,9162,40,48
2024,2024brbr,Week 1,9175,9486,9460,8066,9218,9675,48,6
2024,2024brbr,Week 1,9048,9195,9459,9047,9305,8276,34,41
2024,2024brbr,Week 1,9458,9614,9200,7459,9178,9461,43,34
2024,2024brbr,Week 1,1860,7563,9484,9049,9164,5800,64,42
2024,2024brbr,Week 1,9219,9166,9603,1156,9487,9196,35,47
2024,2024brbr,Week 1,9604,7567,9302,9165,9066,9485,39,44
2024,2024brbr,Week 1,9602,6404,9047,9218,9199,9045,37,17
2024,2024brbr,Week 1,7565,1772,9085,8276,9200,9460,58,42
2024,2024brbr,Week 1,9175,9458,9657,9305,1860,8882,56,32
2024,2024brbr,Week 1,9487,9617,9048,9164,1156,8066,25,59
2024,2024brbr,Week 1,7459,7567,7033,9486,5800,9604,36,42
2024,2024brbr,Week 1,9163,9050,9461,9196,9165,9178,46,26
2024,2024brbr,Week 1,9162,9066,9049,9459,9166,9046,31,31
2024,2024brbr,Week 1,9195,9614,9611,9603,9168,7563,25,60
2024,2024brbr,Week 1,9219,9110,9484,9047,9675,9169,31,31
2024,2024brbr,Week 1,7567,9657,5800,9048,9460,1772,24,42
2024,2024brbr,Week 1,1156,8276,9602,1860,9461,9165,82,44
2024,2024brbr,Week 1,9617,9163,9459,9166,9175,9050,39,58
2024,2024brbr,Week 1,9305,7563,9218,7033,9162,9302,31,33
2024,2024brbr,Week 1,9178,9168,9611,9110,9487,7459,34,24
2024,2024brbr,Week 1,9200,9199,8882,9603,9484,8066,60,44
2024,2024brbr,Week 1,9164,7565,9485,9045,9219,9614,57,7
2024,2024brbr,Week 1,9169,9458,9066,6404,9486,9049,52,34
2024,2024brbr,Week 1,9085,9604,9046,9196,9675,9195,57,14
2024,2024brbr,Week 1,7459,9047,1156,7563,8276,9050,48,47
2024,2024brbr,Week 1,9460,5800,9178,9603,9459,9302,54,53
2024,2024brbr,Week 1,9200,9045,9165,1860,9175,7033,38,40
2024,2024brbr,Week 1,9485,9486,9110,9461,9305,9617,45,45
2024,2024brbr,Week 1,9168,9066,9166,9085,9484,9602,43,46
2024,2024brbr,Week 1,9195,9604,9219,9657,6404,9162,51,22
2024,2024brbr,Week 1,9163,9048,9675,9458,9199,7565,27,74
2024,2024brbr,Week 1,8066,1772,9611,9046,9218,9049,41,23
2024,2024brbr,Week 1,9487,8882,7567,9614,9169,9196,41,34
2024,2024brbr,Week 1,7033,9603,9164,9066,9602,9175,32,58
2024,2024brbr,Week 1,7563,1156,6404,9459,9200,9110,66,43
2024,2024brbr,Week 1,9168,9163,1860,9047,9460,9604,32,60
2024,2024brbr,Week 1,9484,9050,9486,7565,9611,9048,49,44
2024,2024brbr,Week 1,9165,9458,9218,9085,9617,9219,19,52
2024,2024brbr,Week 1,9675,9166,8276,9178,9485,9657,19,57
2024,2024brbr,Week 1,9196,9305,9045,9614,5800,8066,27,26
2024,2024brbr,Week 1,9302,9046,9195,9169,7459,9199,43,44
2024,2024brbr,Week 1,8882,9162,1772,9461,9487,9164,63,39
2024,2024brbr,Week 1,9049,9110,7565,7567,9175,9085,37,41
2024,2024flwp,Week 1,2383,9040,9725,744,806,4458,22,41
2024,2024flwp,Week 1,348,8861,6686,9404,6743,4388,7,75
2024,2024flwp,Week 1,5410,59,7833,5472,6317,8817,28,58
2024,2024flwp,Week 1,179,180,5842,3173,694,108,61,41
2024,2024flwp,Week 1,6300,2152,5872,4206,9779,1744,28,40
2024,2024flwp,Week 1,1523,9693,5557,9402,7652,3932,45,36
2024,2024flwp,Week 1,3390,3627,3173,8775,5410,6317,19,75
2024,2024flwp,Week 1,4388,5472,9040,8817,6300,179,58,55
2024,2024flwp,Week 1,59,744,1523,806,4206,694,26,31
2024,2024flwp,Week 1,8861,6743,5872,5842,5557,3627,25,28
2024,2024flwp,Week 1,348,3932,1744,2152,3390,8775,20,35
2024,2024flwp,Week 1,9779,2383,7652,9725,6686,9693,22,26
2024,2024flwp,Week 1,7833,180,108,9404,4458,9402,55,41
2024,2024flwp,Week 1,5842,8775,8861,59,806,6300,41,38
2024,2024flwp,Week 1,9040,3627,6686,2152,7652,4206,27,29
2024,2024flwp,Week 1,5557,3932,8817,180,6317,9725,35,56
2024,2024flwp,Week 1,179,5410,9404,7833,1523,2383,48,20
2024,2024flwp,Week 1,3173,9693,4458,6743,1744,5472,38,58
2024,2024flwp,Week 1,9779,694,744,4388,348,108,27,73
2024,2024flwp,Week 1,9402,179,6686,3390,5872,8817,54,28
2024,2024flwp,Week 1,9693,8775,5472,7833,8861,5557,39,37
2024,2024flwp,Week 1,1744,9725,6300,3627,806,348,51,27
2024,2024flwp,Week 1,3932,9404,3390,3173,9040,7652,28,43
2024,2024flwp,Week 1,9402,2383,180,2152,5842,744,65,13
2024,2024flwp,Week 1,6743,4206,59,5410,108,1523,48,49
2024,2024flwp,Week 1,6317,4458,694,9779,4388,5872,69,21
2024,2024flwp,Week 1,744,179,3932,5472,6686,806,53,40
2024,2024flwp,Week 1,1744,8817,7833,108,5557,2383,8,80
2024,2024flwp,Week 1,5410,9779,348,8861,7652,180,22,43
2024,2024flwp,Week 1,4458,4206,4388,3390,5842,9402,54,50
2024,2024flwp,Week 1,6743,1523,694,9040,59,5872,63,37
2024,2024flwp,Week 1,3173,6300,6317,9693,2152,3627,66,22
2024,2024flwp,Week 1,4206,108,9725,8775,9404,2383,35,60
2024,2024flwp,Week 1,3390,348,9040,8817,59,5842,10,62
2024,2024flwp,Week 1,6317,1744,806,9402,5472,694,34,41
2024,2024flwp,Week 1,6686,4388,180,9693,7833,6743,52,34
2024,2024flwp,Week 1,6300,3627,4458,3932,5872,5410,43,35
2024,2024flwp,Week 1,9779,3173,9404,5557,744,8775,27,58
2024,2024flwp,Week 1,1523,9725,7652,179,8861,2152,43,44
2024,2024flwp,Week 1,59,180,3932,5872,2383,6317,47,52
2024,2024flwp,Week 1,3627,4206,9402,8817,9040,9779,28,35
2024,2024flwp,Week 1,6743,108,2152,744,7833,5472,50,37
2024,2024flwp,Week 1,7652,4458,8775,1523,3173,4388,51,53
2024,2024flwp,Week 1,8861,5410,9725,6686,694,1744,29,28
2024,2024flwp,Week 1,806,9693,179,5842,9404,348,62,23
2024,2024flwp,Week 1,6300,3390,108,180,5557,6743,41,73
2024,2024flwp,Week 1,4388,9402,59,3932,9725,3627,29,38
2024,2024flwp,Week 1,7652,5872,806,4458,8817,348,29,44
2024,2024flwp,Week 1,744,2383,6300,5557,9779,3390,36,58
2024,2024flwp,Week 1,694,8775,179,4206,6317,9693,74,48
2024,2024flwp,Week 1,7833,6686,9404,8861,1744,9040,11,12
2024,2024flwp,Week 1,5410,5842,3173,5472,2152,1523,41,51
2024,2024flwp,Week 1,9725,8817,806,694,9693,3390,27,41
2024,2024flwp,Week 1,6317,179,6743,9404,7652,59,74,37
2024,2024flwp,Week 1,2152,4388,5557,180,4458,5410,56,62
2024,2024flwp,Week 1,5872,1523,6686,108,5472,9779,26,63
2024,2024flwp,Week 1,4206,3173,2383,6300,9402,8861,56,26
2024,2024flwp,Week 1,5842,7833,3932,1744,744,3627,51,20
2024,2024flwp,Week 1,5472,348,7652,9040,8775,180,48,52
2024,2024flwp,Week 1,6317,9779,2152,806,6743,3390,28,37
2024,2024flwp,Week 1,3627,8817,1523,694,9404,6300,34,83
2024,2024flwp,Week 1,108,744,9040,9693,3932,8861,52,32
2024,2024flwp,Week 1,348,59,3173,2383,6686,4458,62,50
2024,2024flwp,Week 1,5872,5842,4206,8775,9725,7833,40,33
2024,2024flwp,Week 1,5557,9402,5410,179,1744,4388,43,62
2024,2024flwp,Week 1,6686,3390,744,1523,3932,6317,11,28
2024,2024flwp,Week 1,2383,694,2152,8775,348,6743,56,29
2024,2024flwp,Week 1,5872,5557,5472,9404,9040,4206,55,29
2024,2024flwp,Week 1,1744,180,9693,59,179,9779,37,76
2024,2024flwp,Week 1,7652,6300,7833,9725,3173,9402,36,33
2024,2024flwp,Week 1,108,806,5842,4388,3627,5410,57,13
2024,2024flwp,Week 1,8817,8861,9404,4458,2152,59,21,53
2024,2024flwp,Week 1,180,1523,9779,348,7833,4206,36,39
2024,2024flwp,Week 1,9040,5410,9693,9725,5872,744,23,31
2024,2024flwp,Week 1,806,9402,8775,6686,6300,5557,49,74
2024,2024flwp,Week 1,694,4388,8817,3932,6743,3173,52,69
2024,2024flwp,Week 1,4458,108,1744,7652,6317,5842,43,30
2024,2024flwp,Week 1,3627,5472,8861,2383,3390,179,43,64
2024,2024paca,Week 1,1126,9475,2172,8393,695,3201,26,28
2024,2024paca,Week 1,4991,2013,4050,578,2656,144,30,24
2024,2024paca,Week 1,2614,4145,9022,1787,3260,325,33,65
2024,2024paca,Week 1,3484,3954,3015,117,4150,8705,67,40
2024,2024paca,Week 1,5740,4611,5413,9139,2053,2228,37,39
2024,2024paca,Week 1,3492,3181,9415,677,1559,379,23,32
2024,2024paca,Week 1,7515,8096,4121,2252,2638,2641,54,34
2024,2024paca,Week 1,1708,7274,4027,6834,9004,3504,53,24
2024,2024paca,Week 1,117,578,340,2399,5413,3260,35,37
2024,2024paca,Week 1,2656,2053,1559,8393,3484,2614,50,52
2024,2024paca,Week 1,2013,3015,2252,1787,144,5740,40,66
2024,2024paca,Week 1,7274,8705,2638,4991,3504,3181,25,38
2024,2024paca,Week 1,3492,9139,4027,9415,2228,2641,45,37
2024,2024paca,Week 1,9475,379,2399,4611,6834,2172,43,83
2024,2024paca,Week 1,8096,340,325,9004,1708,695,67,58
2024,2024paca,Week 1,3954,4145,7515,1126,3201,4050,50,60
2024,2024paca,Week 1,4121,677,8393,9022,4150,578,44,36
2024,2024paca,Week 1,2013,5413,117,1559,2641,3504,34,66
2024,2024paca,Week 1,325,2252,4611,8705,6834,3492,81,31
2024,2024paca,Week 1,9415,9004,3015,4145,2399,1126,40,47
2024,2024paca,Week 1,4027,1787,2053,2638,677,9475,75,46
2024,2024paca,Week 1,2614,4991,5740,2172,3201,4121,53,64
2024,2024paca,Week 1,4150,144,695,7515,3260,2228,76,41
2024,2024paca,Week 1,2656,9022,379,3954,8096,1708,56,54
2024,2024paca,Week 1,340,4050,9139,3181,7274,3484,54,42
2024,2024paca,Week 1,4121,4991,8705,5413,9004,3492,51,30
2024,2024paca,Week 1,325,8393,6834,677,9415,144,48,37
2024,2024paca,Week 1,8096,4150,3260,1126,4027,2013,38,54
2024,2024paca,Week 1,379,1787,3201,2228,117,7274,80,46
2024,2024paca,Week 1,695,3484,2656,4611,2638,4145,52,69
2024,2024paca,Week 1,9475,2614,9139,3954,9022,340,53,58
2024,2024paca,Week 1,2252,1708,1559,578,4050,2399,79,21
2024,2024paca,Week 1,2172,2641,7515,3504,3015,2053,37,99
2024,2024paca,Week 1,2228,5740,6834,3181,4121,117,39,74
2024,2024paca,Week 1,3260,2013,2656,3492,4611,9475,37,54
2024,2024paca,Week 1,7274,3201,9415,5413,3484,1708,50,45
2024,2024paca,Week 1,9004,2638,3954,1559,2172,1787,41,63
2024,2024paca,Week 1,3504,695,2614,379,9139,2252,62,75
2024,2024paca,Week 1,144,3181,9022,2053,2399,4150,61,61
2024,2024paca,Week 1,2641,8096,8393,4050,8705,5740,33,23
2024,2024paca,Week 1,578,7515,4991,4145,4027,325,25,78
2024,2024paca,Week 1,3015,117,1126,677,340,4611,80,46
2024,2024paca,Week 1,2638,2656,1787,9139,9415,4150,76,36
2024,2024paca,Week 1,6834,3954,2399,3504,8393,5413,60,29
2024,2024paca,Week 1,3484,9022,8705,4027,695,2172,30,72
2024,2024paca,Week 1,5740,1126,7515,2614,3492,7274,49,44
2024,2024paca,Week 1,3201,578,677,8096,144,9004,63,35
2024,2024paca,Week 1,1708,3181,2641,9475,2252,3260,53,59
2024,2024paca,Week 1,2053,4145,4121,379,340,2013,54,58
2024,2024paca,Week 1,2228,1559,4050,4991,325,3015,34,69
2024,2024paca,Week 1,144,3504,4611,9415,2614,8096,66,36
2024,2024paca,Week 1,4027,3260,677,2172,5740,2252,42,42
2024,2024paca,Week 1,7274,4121,578,695,2053,3954,48,57
2024,2024paca,Week 1,4145,3492,8393,2638,117,1708,27,55
2024,2024paca,Week 1,4050,379,4150,8705,9475,9004,60,15
2024,2024paca,Week 1,3201,325,5413,2656,3015,3181,86,69
2024,2024paca,Week 1,2013,2228,3484,2399,7515,9022,41,47
2024,2024paca,Week 1,2641,1787,6834,340,1126,4991,92,45
2024,2024paca,Week 1,1559,9475,4145,9139,7274,8096,48,34
2024,2024paca,Week 1,3260,5740,695,4050,3954,9415,75,31
2024,2024paca,Week 1,3181,5413,2638,144,2614,2013,35,56
2024,2024paca,Week 1,9004,2172,340,2252,2656,2228,41,80
2024,2024paca,Week 1,9022,3492,2053,3015,6834,3201,30,94
2024,2024paca,Week 1,1708,4991,9139,7515,677,117,54,37
2024,2024paca,Week 1,8705,578,3504,3484,1126,1787,57,61
2024,2024paca,Week 1,4121,4611,379,8393,4027,1559,70,44
2024,2024paca,Week 1,2399,2641,7274,4150,325,2656,42,60
2024,2024paca,Week 1,117,2172,3492,5413,4050,8096,32,40
2024,2024paca,Week 1,2053,9415,1126,9022,2252,4991,35,51
2024,2024paca,Week 1,1787,7515,9004,4611,8393,3181,52,50
2024,2024paca,Week 1,4150,2228,2614,6834,1708,4145,73,51
2024,2024paca,Week 1,325,3504,3484,5740,4121,9475,81,56
2024,2024paca,Week 1,3015,9139,2638,3260,379,578,66,44
2024,2024paca,Week 1,3201,1559,144,340,8705,4027,74,46
2024,2024paca,Week 1,695,2399,677,2641,2013,3954,71,50
2024,2024mndu,Week 1,4009,7915,2531,5690,4693,8836,54,42
2024,2024mndu,Week 1,930,4624,5826,8298,5143,2503,18,12
2024,2024mndu,Week 1,3294,3267,4011,5914,3291,8516,34,39
2024,2024mndu,Week 1,2847,6709,2977,4021,2861,4778,58,35
2024,2024mndu,Week 1,7068,6160,5903,8422,6381,2239,43,52
2024,2024mndu,Week 1,5348,1816,2823,5653,9532,6318,79,8
2024,2024mndu,Week 1,7038,5253,2526,6217,4656,4511,33,39
2024,2024mndu,Week 1,2052,3197,2181,3055,93,4741,54,51
2024,2024mndu,Week 1,7864,4174,6421,1732,4181,5278,34,34
2024,2024mndu,Week 1,7797,8298,2977,3294,6160,5143,57,17
2024,2024mndu,Week 1,5903,4778,6318,5348,3267,4009,49,81
2024,2024mndu,Week 1,4511,8422,2503,2847,3291,9532,35,32
2024,2024mndu,Week 1,7068,8516,4624,1816,3197,2531,40,65
2024,2024mndu,Week 1,5253,2181,2861,5278,8836,4174,46,35
2024,2024mndu,Week 1,2239,5653,3055,2526,930,93,22,41
2024,2024mndu,Week 1,4181,2823,6381,5914,7797,7038,48,47
2024,2024mndu,Week 1,4741,6217,6421,7915,4021,6709,37,39
2024,2024mndu,Week 1,5690,4011,7864,4656,2052,5826,47,41
2024,2024mndu,Week 1,8422,2181,1732,2503,5348,4693,61,41
2024,2024mndu,Week 1,6318,2526,2977,5278,3197,8298,41,30
2024,2024mndu,Week 1,5253,3291,930,4778,4181,6160,42,38
2024,2024mndu,Week 1,4174,1816,7915,5143,5914,93,74,57
2024,2024mndu,Week 1,4656,4741,8516,2239,8836,5826,25,4
2024,2024mndu,Week 1,6421,2847,5653,6381,4693,2052,55,57
2024,2024mndu,Week 1,4011,9532,4021,5903,7038,1732,38,75
2024,2024mndu,Week 1,4511,5690,3267,6217,3294,7068,56,37
2024,2024mndu,Week 1,2531,4624,2823,6709,3055,7864,56,35
2024,2024mndu,Week 1,4656,4009,2861,3197,4741,7797,52,73
2024,2024mndu,Week 1,2052,930,6318,3291,8422,8836,46,24
2024,2024mndu,Week 1,6160,7038,5278,4778,2503,8516,16,26
2024,2024mndu,Week 1,4181,5690,4021,2181,5143,1816,41,51
2024,2024mndu,Week 1,3294,2526,2239,9532,1732,6709,32,72
2024,2024mndu,Week 1,6381,5348,6217,93,2531,2861,86,56
2024,2024mndu,Week 1,8298,5253,4009,2823,4011,2847,36,54
2024,2024mndu,Week 1,2977,5903,5653,7068,7864,7915,70,36
2024,2024mndu,Week 1,7797,4511,4693,3055,5914,4624,54,50
2024,2024mndu,Week 1,3267,6421,9532,5826,4174,3197,41,52
2024,2024mndu,Week 1,5143,1732,4741,6318,5278,2531,39,29
2024,2024mndu,Week 1,7038,5690,2239,5348,2847,8836,26,61
2024,2024mndu,Week 1,6217,2503,4181,4011,4009,2977,29,52
2024,2024mndu,Week 1,5653,93,6381,4624,3294,5253,70,34
2024,2024mndu,Week 1,2861,8516,4511,6421,7915,930,54,55
2024,2024mndu,Week 1,3291,2052,7797,4174,7068,2526,74,43
2024,2024mndu,Week 1,7864,2823,4693,4021,3267,6160,46,20
